,Month 1,Month 2,Month 3,Month 4,Month 5
1FNKOL74,3,10,1,5,4
1FNBHT19,33,10,3,0,4
1FNBNW02,10,4,15,10,8
1FNKUT10,9,0,5,4,6
1FNKOL216,5,2,1,2,1
1FNBOM95,3,9,5,3,4
1FDSKN03,23,16,8,20,21
1RDNAJM11,19,3,5,8,13
1FNDHO01,6,9,0,1,3
1FDLUC112,28,19,5,13,4
1FDJMG33,3,8,7,5,4
1FDAJM22,6,12,15,10,6
1RDDKAN12,14,1,7,6,9
1FDBNK15,9,6,5,4,19
1RDNKOL52,5,3,2,2,5
1FNKOL116,6,6,3,5,10
1FDFZB35,12,17,11,8,33
1FDJHU14,1,1,7,2,5
1FNKAN92,11,6,0,10,11
1CRGJRJ03,7,13,13,5,4
1FNSUL43,25,8,14,8,4
1RDDLUC03,15,17,3,7,8
1FNUDP42,9,6,5,10,6
1FDBIK36,15,6,0,0,0
1FNKOL121,7,5,5,10,2
1FNNGU15,3,17,5,0,2
1FNMEH24,6,5,3,4,2
2CRMHMU84,19,16,7,12,23
1FNKHD36,4,8,9,8,2
1FNAHM88,22,3,1,3,6
1RDDKAN07,13,10,6,11,38
1FDCAC03,6,4,6,8,5
1FNFZB24,12,25,4,6,7
1FNJOR02,7,2,4,1,3
1FNKHD58,8,2,3,1,7
1FNKOT37,14,13,1,3,15
1FDKOT35,8,0,0,0,0
1FNKHD37,6,3,2,2,4
1CRRJJP18,7,11,12,11,3
1FDJMG26,8,25,3,9,2
1FDJAI85,4,11,7,6,4
1RDNKOL05,14,15,11,9,8
1RDDOBR01,2,6,2,2,6
1FDBHA06,4,6,9,6,3
1FNPTP13,4,0,2,2,3
1FDBOT02,4,6,3,6,2
1FNTRP02,4,1,7,2,0
1CRGJJU01,8,0,4,3,2
1CRRJHG02,14,9,7,7,1
1FDPLI10,4,5,1,3,11
1FNDUN12,12,9,9,4,4
1FNKHD13,1,0,4,5,2
1FNKOL107,2,1,7,2,4
1FNKOL199,4,6,8,7,6
1CRGJAH503,8,9,9,16,10
1RDDMUM49,5,12,6,6,3
1CRMHMU514,13,10,15,23,23
1CRMHMU29,11,10,8,7,6
