,Month 1,Month 2,Month 3,Month 4,Month 5
1FNRBL23,2,18,2,14,12
1FNSUL05,15,63,13,74,38
1FNVAR60,8,38,7,35,53
1FNVAR34,13,35,6,30,30
1FWRGH40,28,91,18,85,68
1RDNALD14,5,41,1,52,32
1RDNASA01,3,33,11,50,48
1RDNJMG06,1,1,4,39,9
1RDWLUC51,5,47,19,26,67
1RDWMIR05,12,68,20,92,105
1RDWSUL02,13,64,10,39,42
1CRGJAH01,6,86,14,79,144
1CRGJAH27,14,92,16,101,93
1CRGJAH40,9,71,12,63,69
1CRHGJJU01,5,52,1,41,40
1CRMHTH01,9,58,18,120,93
1CRMHTH11,7,80,25,106,27
1CRMHTH39,54,183,33,372,0
1CRRJPA01,9,42,7,109,69
1CRUPVA12,3,48,3,54,53
1FDALW11,5,37,5,62,45
1FDBOM148,6,0,0,0,0
1FDBOM268,3,24,9,24,82
1FDKOL181,8,52,20,84,76
1FNABN30,3,43,3,40,38
1FNAHM123,6,24,7,9,16
1FNALD30,6,32,19,44,20
1FNAMT36,32,74,7,25,22
1FNAMT20,23,20,11,45,37
1FNBHL14,1,19,0,28,33
1FNBHT22,6,40,12,80,71
1FNBND17,6,34,7,18,20
1FNBNK08,11,35,10,26,53
1FNFTP20,14,10,3,24,16
1FNGZP05,18,75,12,35,46
1FNJDP36,4,9,1,19,29
1FNJDP17,9,38,9,52,56
1FNJDP32,5,19,5,46,17
1FNKAN109,5,40,6,8,25
1FNKAN122,8,43,13,27,28
1FNKOT44,4,12,15,26,33
1FNKOT59,2,22,7,75,48
1FNMEH53,4,19,3,10,15
1FNPTP33,3,4,3,0,26
1FNRSM07,15,51,9,50,52
1FNSMD08,25,77,43,74,126
1FNSMD14,7,24,20,96,97
1FNSUL03,4,18,10,26,41
1FNSUL38,1,22,1,28,22
1FNVAR76,7,79,9,41,41
1RDNPTN01,14,38,13,32,33
1RDNUDP05,7,30,2,19,27
1CRGJAH35,5,41,2,57,42
1CRHMHMU06,19,86,11,80,75
1CRHUPVA07,15,84,23,138,109
1CRRJHG02,14,56,8,54,47
1CRRJJH12,9,61,12,96,81
1CRUPRB01,19,62,22,58,5
1FDABN42,5,61,3,111,0
1FDBDN21,20,66,31,126,54
1FDBOM104,21,46,10,120,125
1FDBOM164,9,30,8,37,19
1FDDBG03,17,0,0,0,37
1FDJMG26,8,80,1,93,41
1FDKOL142,4,26,15,20,24
1FNAHM115,6,24,8,58,32
1FNAHM70,4,35,7,35,33
1FNAJM59,18,116,5,34,16
1FNAMR12,2,12,4,12,9
1FNBBN08,2,24,9,21,29
1FNBHI10,5,71,11,24,58
1FNBIK17,3,16,11,32,14
1FNBND11,6,11,9,33,14
1FNBNK04,6,32,5,0,24
1FNDAR11,8,34,1,0,91
1FNJDP65,10,17,7,19,30
1FNJLO02,2,0,0,23,31
1FNJOR01,15,28,9,34,30
1FNKAN129,8,40,6,31,32
1FNKAN137,21,38,8,27,29
1FNKOL220,13,28,5,50,19
1FNKOL224,6,35,5,19,25
1FNKOT21,12,0,4,6,8
1FNMEH20,2,28,9,45,54
1FNMEH39,3,7,4,20,9
1FNMIR15,6,29,1,31,26
1FNRAJ02,2,0,0,2,8
1FNRAJ65,11,27,10,36,31
1FNSUL15,2,30,5,24,24
1FNVAR89,10,98,6,56,70
1FWBDN27,14,58,16,31,19
1FWBSK03,9,67,7,36,43
1RDDALD04,9,70,11,49,61
